face_position_x,face_position_y,face_size_w,face_size_h,distance_to_face,left_eye_position_x,left_eye_position_y,right_eye_position_x,right_eye_position_y,eyes_size_w,eyes_size_h,head_pose_yaw,head_pose_pitch,head_pose_roll,gaze_direction_ox,gaze_direction_oy,gaze_direction_oz,screen_point_x,screen_point_y
257.88202,105.66565,207.51422,284.18677,0.5392859106192892,372.6406368043001,156.78107222973642,283.3598408765895,157.36221034121274,89.28180438204934,122.26972804660886,-1.1948245,19.751392,13.411488,0.04200941,0.19891962,-0.97684395,462.0,67.0
259.2526,107.41399,205.34369,282.43997,0.5387773790896504,367.5174761541092,154.05626740432274,274.13295978914346,155.05461764640097,93.38733711645934,128.44961053431572,-0.846524,19.184156,7.826291,0.014195623,0.17826004,-0.9807679,578.0,67.0
256.43317,103.343925,207.17027,283.7175,0.541433579844075,365.69852127331467,157.17921772878557,277.825054109166,158.05100745224567,87.8757729165293,120.3449421335511,-0.5128052,18.554157,6.3997107,0.03342138,0.18255037,-0.9821825,666.0,64.0
254.47296,103.55803,207.91985,281.08636,0.5396936469018572,361.5854089561429,158.63728312463667,273.73743706152646,159.74186945675086,87.85177151783624,118.7666094279895,-0.46911192,19.818668,4.9770164,0.023857635,0.18662882,-0.98064303,739.0,64.0
254.28601,103.17198,204.23917,281.3282,0.5407702924978376,359.40784850187947,156.47966746379456,270.75574580291374,155.8814272653562,88.65316655070357,122.11484696456696,0.12123537,19.086166,3.0248642,0.12798387,0.22165483,-0.9612159,845.0,69.0
251.68173,100.84284,203.04782,284.19016,0.5426612780833974,354.5771978298759,155.26157274142673,267.64939599353664,154.91733730150003,86.92814977301231,121.66653270776452,-0.98137593,18.994213,1.7084646,-0.012380421,0.20223425,-0.9783001,891.0,71.0
244.61151,101.268105,208.00505,285.02167,0.5381147478817246,350.89667642236714,155.41473820071351,262.4704875603868,158.45910654664968,88.45409546505975,121.20539239327007,-1.3454027,19.412676,2.1021175,-0.040635314,0.21800008,-0.97422206,988.0,61.0
240.729,102.88963,208.28151,283.6161,0.5349006712361868,346.3587298519849,150.9833620770075,253.87534499597743,153.3807298793142,92.5001410734917,125.9570679441245,-1.2410663,21.687546,1.0190077,-0.050001472,0.22809881,-0.97140336,1053.0,52.0
247.54056,102.23611,205.55914,286.61676,0.535126200907627,348.6581693682152,157.2848994614267,260.67281512478127,158.8766466685627,87.99275983857193,122.69072236102916,-1.4830905,20.80056,0.4035244,-0.06864769,0.19122317,-0.97800505,1060.0,89.0
251.84679,101.64827,203.64935,285.59192,0.5408159236834138,354.46473004765073,154.6295715858701,265.3431086197605,155.65846038129672,89.12464131482402,124.98580015128108,-1.0988369,22.636112,0.8448467,-0.03639015,0.20890841,-0.97660834,1016.0,92.0
